Category: Demographics/Introduction,,,,,,
Source: UMass Donahue Institute,,,,,,
"Notes: Other Incluldes American Indian, Alaskan Natives, and Other Pacific Islanders. ",,,,,,
Chart: MA Population (2020),,,,,,
,,,,,,
Year,Race/Ethnicity,Measure,Percent,,,
2016,Two or More Races,Non Hispanic,"119,838",1.76%,Non-White Residents,"Two or More Races, NH"
2017,White,Non Hispanic,"4,950,532",72.17%,White Residents,"White, NH"
2017,Black,Non Hispanic,"491,783",7.17%,Non-White Residents,"Black, NH"
2017,American Indian/Alaskan Native,Non Hispanic,"12,288",0.18%,Non-White Residents,"American Indian/Alaskan Native, NH"
2017,Asian,Non Hispanic,"467,591",6.82%,Non-White Residents,"Asian, NH"
2017,Native Hawaiin/Other Pacific Islander,Non Hispanic,"2,833",0.04%,Non-White Residents,"Native Hawaiian/Other Pacific Islander, NH"
2017,Two or More Races,Non Hispanic,"123,336",1.80%,Non-White Residents,"Two or More Races, NH"
2018,White,Non Hispanic,"4,925,096",71.46%,White Residents,"White, NH"
2018,Black,Non Hispanic,"499,155",7.24%,Non-White Residents,"Black, NH"
2018,American Indian/Alaskan Native,Non Hispanic,"12,391",0.18%,Non-White Residents,"American Indian/Alaskan Native, NH"
2018,Asian,Non Hispanic,"478,443",6.94%,Non-White Residents,"Asian, NH"
2018,Native Hawaiin/Other Pacific Islander,Non Hispanic,"2,902",0.04%,Non-White Residents,"Native Hawaiian/Other Pacific Islander, NH"
2018,Two or More Races,Non Hispanic,"126,367",1.83%,Non-White Residents,"Two or More Races, NH"
2019,White,Non Hispanic,"4,897,800",71.06%,White Residents,"White, NH"
2019,Black,Non Hispanic,"505,757",7.34%,Non-White Residents,"Black, NH"
2019,American Indian/Alaskan Native,Non Hispanic,"12,408",0.18%,Non-White Residents,"American Indian/Alaskan Native, NH"
2019,Asian,Non Hispanic,"490,023",7.11%,Non-White Residents,"Asian, NH"
2019,Native Hawaiin/Other Pacific Islander,Non Hispanic,"2,989",0.04%,Non-White Residents,"Native Hawaiian/Other Pacific Islander, NH"
2019,Two or More Races,Non Hispanic,"128,619",1.87%,Non-White Residents,"Two or More Races, NH"
2020,White,Non Hispanic,"4,826,116",68.65%,White Residents,"White, NH"
2020,Black,Non Hispanic,"476,930",6.78%,Non-White Residents,"Black, NH"
2020,American Indian/Alaskan Native,Non Hispanic,"9,939",0.14%,Non-White Residents,"American Indian/Alaskan Native, NH"
2020,Asian,Non Hispanic,"510,096",7.26%,Non-White Residents,"Asian, NH"
2020,Native Hawaiin/Other Pacific Islander,Non Hispanic,"1,841",0.03%,Non-White Residents,"Native Hawaiian/Other Pacific Islander, NH"
2020,Two or More Races,Non Hispanic,"326,049",4.64%,Non-White Residents,"Two or More Races, NH"
